AssayPattern,Enabled,IsMTB,PosRegex,NegRegex,ErrRegex,PosWins,Note
HIV-1 Viral Load RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
HIV-1 Viral Load XC IUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
HIV-1 Viral Load XC RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
HPV HR AND GENOTYPE RUO ASSAY,TRUE,FALSE,(^|\b)(POS)(\b|$),,(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
LCE009 Xpress SARS-CoV-2 plus,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
MRSA NxG IUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
MRSA NxG RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
MRSA-SA ETA,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Respiratory Panel IUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Respiratory Panel RUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Respiratory panel,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Respiratory panel CE-IVD,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Respiratory panel UKCA-IVD,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
TAP Panel IUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
TAP Panel RUO,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
XP Flu-RSV RUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert C.diff-Epi,TRUE,FALSE,(^|\b)(PRESUMPTIVE\s+POSITIVE|POSITIVE)(\b|$),(^|\b)(PRESUMPTIVE\s+NEGATIVE|NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert C.difficile BT,TRUE,FALSE,(^|\b)(POS)(\b|$),(^|\b)(NEG)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert C.difficile G3,TRUE,FALSE,(^|\b)(POSITIVE|POS)(\b|$),(^|\b)(NEGATIVE|NEG)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Carba-R,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Ebola CE-IVD,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Ebola EUA,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert GBS LB XC,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert HBV Viral Load,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert HCV PQC,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert HCV VL Fingerstick,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert HIV-1 Viral Load XC,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert HPV HR,TRUE,FALSE,(^|\b)(POS)(\b|$),,(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert HPV v2 HR,TRUE,FALSE,(^|\b)(POS)(\b|$),,(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert MRSA NxG,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert MRSA-SA BC G3,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert MRSA-SA SSTI G3,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert MRSA_SA_BC,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert MRSA_SA_BC_CE,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Norovirus,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert SA Nasal Complete G3,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert TAP Panel,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress CoV-2 plus,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress CoV-2 plus IVD,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress Flu-RSV,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress GBS,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress GBS RUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress SARS-CoV-2,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress SARS-CoV-2 CE-IVD,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress Strep A,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert Xpress_Strep A,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert vanA vanB,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert-C. difficile G2,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert_Carba-R,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert_HCV Viral Load,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert_HIV-1 Viral Load,TRUE,FALSE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpress CoV-2 plus IUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpress CoV-2 plus RUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpress Flu IPT_EAT off,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpress GBS IUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpress GBS RUO,TRUE,FALSE,(^|\b)(POSITIVE)(\b|$),(^|\b)(NEGATIVE)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
MTB-RIF Ultra v2 RUO,FALSE,TRUE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
MTB-XDR IUO,FALSE,TRUE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
MTB-XDR RUO,FALSE,TRUE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
Xpert MTB-RIF Assay G4,FALSE,TRUE,(^|\b)(DETECTED)(\b|$),(^|\b)(NOT\s+DETECTED)(\b|$),(^|\b)(INDETERMINATE|INCONCLUSIVE|UNRESOLVED|NO\s+RESULT|CANCELLED|INVALID|ABORTED|ERROR)(\b|$),TRUE,Auto-generated from Assay-spec ExpectedResult strings; non-MTB fallback for ObservedCall when RuleBank patterns miss.
