AssayPattern,SampleTypeCode,SampleNumberTokenIndex,SampleNumberRegex,SampleNumberMin,SampleNumberMax,SampleNumberPad,Enabled,Note,Priority
HCV Viral Load RUO,1,3,^\d{2},1,10,2,TRUE,Spec HCV VL: First 10 (Positive Control 1) size=10 => 01-10,9000
HCV Viral Load RUO,0,3,^\d{2},11,110,2,TRUE,Spec HCV VL: Negative (Negative Control 1) size=100 => 11-110,9000
HCV Viral Load RUO,1,3,^\d{2},111,190,2,TRUE,Spec HCV VL: Low Positive (Positive Control 1) size=80 => 111-190,9000
HCV Viral Load RUO,2,3,^\d{2},191,210,2,TRUE,Spec HCV VL: High Positive (Positive Control 2) size=20 => 191-210,9000
HIV-1 Viral Load RUO,1,3,^\d{2},1,10,2,TRUE,Spec HIV VL: First 10 (Positive Control 1) size=10 => 01-10,9000
HIV-1 Viral Load RUO,0,3,^\d{2},11,110,2,TRUE,Spec HIV VL: Negative (Negative Control 1) size=100 => 11-110,9000
HIV-1 Viral Load RUO,1,3,^\d{2},111,190,2,TRUE,Spec HIV VL: Low Positive (Positive Control 1) size=80 => 111-190,9000
HIV-1 Viral Load RUO,2,3,^\d{2},191,210,2,TRUE,Spec HIV VL: High Positive (Positive Control 2) size=20 => 191-210,9000
HIV-1 Viral Load XC IUO,1,3,^\d{2},1,10,2,TRUE,Spec HIV VL XC: First 10 (Positive Control 1) size=10 => 01-10,9000
HIV-1 Viral Load XC IUO,0,3,^\d{2},11,110,2,TRUE,Spec HIV VL XC: Negative (Negative Control 1) size=100 => 11-110,9000
HIV-1 Viral Load XC IUO,1,3,^\d{2},111,190,2,TRUE,Spec HIV VL XC: Low Positive (Positive Control 1) size=80 => 111-190,9000
HIV-1 Viral Load XC IUO,2,3,^\d{2},191,210,2,TRUE,Spec HIV VL XC: High Positive (Positive Control 2) size=20 => 191-210,9000
HPV HR AND GENOTYPE RUO ASSAY,1,3,^\d{2},1,10,2,TRUE,Spec HPV: First 10 (Positive Control 1) size=10 => 01-10,9000
HPV HR AND GENOTYPE RUO ASSAY,0,3,^\d{2},11,70,2,TRUE,Spec HPV: Negative (Negative Control 1) size=60 => 11-70,9000
HPV HR AND GENOTYPE RUO ASSAY,1,3,^\d{2},71,190,2,TRUE,Spec HPV: Low Positive (Positive Control 1) size=120 => 71-190,9000
HPV HR AND GENOTYPE RUO ASSAY,2,3,^\d{2},191,210,2,TRUE,Spec HPV: High Positive (Positive Control 2) size=20 => 191-210,9000
MRSA NxG IUO,0,3,^\d{2},1,10,2,TRUE,Spec MRSA NxG: First 10 (Negative Control 1) size=10 => 01-10,9000
MRSA NxG IUO,0,3,^\d{2},11,110,2,TRUE,Spec MRSA NxG: Negative (Negative Control 1) size=100 => 11-110,9000
MRSA NxG IUO,1,3,^\d{2},111,190,2,TRUE,Spec MRSA NxG: Low Positive (Positive Control 1) size=80 => 111-190,9000
MRSA NxG IUO,2,3,^\d{2},191,210,2,TRUE,Spec MRSA NxG: High Positive (Positive Control 2) size=20 => 191-210,9000
MRSA-SA ETA,0,3,^\d{2},1,10,2,TRUE,Spec MRSA SA: First 10 (Specimen) size=10 => 01-10,9000
MRSA-SA ETA,0,3,^\d{2},11,110,2,TRUE,Spec MRSA SA: Negative (Specimen) size=100 => 11-110,9000
MRSA-SA ETA,1,3,^\d{2},111,210,2,TRUE,Spec MRSA SA: Positive (Specimen) size=100 => 111-210,9000
MTB-RIF Ultra v2 RUO,0,3,^\d{2},1,10,2,TRUE,Spec MTB U: First 10 (Negative Control 1) size=10 => 01-10,9000
MTB-RIF Ultra v2 RUO,0,3,^\d{2},11,110,2,TRUE,Spec MTB U: Negative (Negative Control 1) size=100 => 11-110,9000
MTB-RIF Ultra v2 RUO,1,3,^\d{2},111,190,2,TRUE,Spec MTB U: Positive (Positive Control 1) size=80 => 111-190,9000
MTB-RIF Ultra v2 RUO,2,3,^\d{2},191,210,2,TRUE,Spec MTB U: TBWT (Positive Control 2) size=20 => 191-210,9000
Xpert MTB-RIF Assay G4,0,3,^\d{2},1,10,2,TRUE,Spec MTB: First 10 (Specimen) size=10 => 01-10,9000
Xpert MTB-RIF Assay G4,0,3,^\d{2},11,110,2,TRUE,Spec MTB: Negative (Specimen) size=100 => 11-110,9000
Xpert MTB-RIF Assay G4,1,3,^\d{2},111,210,2,TRUE,Spec MTB: Positive (Specimen) size=100 => 111-210,9000
Xpert MTB-RIF JP IVD,0,3,^\d{2},1,10,2,TRUE,Spec MTB JP: First 10 (Specimen) size=10 => 01-10,9000
Xpert MTB-RIF JP IVD,0,3,^\d{2},11,110,2,TRUE,Spec MTB JP: Negative (Specimen) size=100 => 11-110,9000
Xpert MTB-RIF JP IVD,1,3,^\d{2},111,170,2,TRUE,Spec MTB JP: TBWT (Specimen) size=60 => 111-170,9000
Xpert MTB-RIF JP IVD,2,3,^\d{2},171,180,2,TRUE,Spec MTB JP: TBMDR1 Low (Specimen) size=10 => 171-180,9000
Xpert MTB-RIF JP IVD,3,3,^\d{2},181,190,2,TRUE,Spec MTB JP: TBMDR1 High (Specimen) size=10 => 181-190,9000
Xpert MTB-RIF JP IVD,4,3,^\d{2},191,200,2,TRUE,Spec MTB JP: TBMDR2 Low (Specimen) size=10 => 191-200,9000
Xpert MTB-RIF JP IVD,5,3,^\d{2},201,210,2,TRUE,Spec MTB JP: TBMDR2 High (Specimen) size=10 => 201-210,9000
MTB-XDR IUO,0,3,^\d{2},1,10,2,TRUE,Spec MTB XDR: First 10 (Negative Control 1) size=10 => 01-10,9000
MTB-XDR IUO,0,3,^\d{2},11,110,2,TRUE,Spec MTB XDR: Negative (Negative Control 1) size=100 => 11-110,9000
MTB-XDR IUO,1,3,^\d{2},111,190,2,TRUE,Spec MTB XDR: Low Positive (Positive Control 1) size=80 => 111-190,9000
MTB-XDR IUO,2,3,^\d{2},191,210,2,TRUE,Spec MTB XDR: High Positive (Positive Control 2) size=20 => 191-210,9000
Xpert Norovirus,0,3,^\d{2},1,10,2,TRUE,Spec NORO: First 10 (Negative Control 1) size=10 => 01-10,9000
Xpert Norovirus,0,3,^\d{2},11,110,2,TRUE,Spec NORO: Negative (Negative Control 1) size=100 => 11-110,9000
Xpert Norovirus,1,3,^\d{2},111,190,2,TRUE,Spec NORO: Low Positive (Positive Control 1) size=80 => 111-190,9000
Xpert Norovirus,2,3,^\d{2},191,210,2,TRUE,Spec NORO: High Positive (Positive Control 2) size=20 => 191-210,9000
Respiratory Panel IUO,0,3,^\d{2},1,10,2,TRUE,Spec Respiratory Panel: First 10 (Specimen) size=10 => 01-10,9000
Respiratory Panel IUO,0,3,^\d{2},11,110,2,TRUE,Spec Respiratory Panel: Negative (Specimen) size=100 => 11-110,9000
Respiratory Panel IUO,1,3,^\d{2},111,150,2,TRUE,Spec Respiratory Panel: Sample Mix 1 (Specimen) size=40 => 111-150,9000
Respiratory Panel IUO,2,3,^\d{2},151,170,2,TRUE,Spec Respiratory Panel: Sample Mix 2 (Specimen) size=20 => 151-170,9000
Respiratory Panel IUO,3,3,^\d{2},171,190,2,TRUE,Spec Respiratory Panel: Sample Mix 3 (Specimen) size=20 => 171-190,9000
Respiratory Panel IUO,4,3,^\d{2},191,210,2,TRUE,Spec Respiratory Panel: Sample Mix 4 (Specimen) size=20 => 191-210,9000
Xpert Xpress Strep A,0,3,^\d{2},1,10,2,TRUE,Spec STREPA: First 10 (Negative Control 1) size=10 => 01-10,9000
Xpert Xpress Strep A,0,3,^\d{2},11,110,2,TRUE,Spec STREPA: Negative (Negative Control 1) size=100 => 11-110,9000
Xpert Xpress Strep A,1,3,^\d{2},111,190,2,TRUE,Spec STREPA: Low Positive (Positive Control 1) size=80 => 111-190,9000
Xpert Xpress Strep A,2,3,^\d{2},191,210,2,TRUE,Spec STREPA: High Positive (Positive Control 2) size=20 => 191-210,9000
TAP Panel IUO,0,3,^\d{2},1,10,2,TRUE,Spec TAP Panel: First 10 (Negative Control 1) size=10 => 01-10,9000
TAP Panel IUO,0,3,^\d{2},11,110,2,TRUE,Spec TAP Panel: Negative (Negative Control 1) size=100 => 11-110,9000
TAP Panel IUO,1,3,^\d{2},111,210,2,TRUE,Spec TAP Panel: Positive (Positive Control 2) size=100 => 111-210,9000
Xpert vanA vanB,0,3,^\d{2},1,10,2,TRUE,Spec VAN AB: First 10 (Negative Control 1) size=10 => 01-10,9000
Xpert vanA vanB,0,3,^\d{2},11,110,2,TRUE,Spec VAN AB: Negative (Negative Control 1) size=100 => 11-110,9000
Xpert vanA vanB,1,3,^\d{2},111,210,2,TRUE,Spec VAN AB: Positive (Positive Control 1) size=100 => 111-210,9000
XP Flu-RSV RUO,0,3,^\d{2},1,10,2,TRUE,Spec FLU RSV: First 10 (Negative Control 1) size=10 => 01-10,9000
XP Flu-RSV RUO,0,3,^\d{2},11,110,2,TRUE,Spec FLU RSV: Negative (Negative Control 1) size=100 => 11-110,9000
XP Flu-RSV RUO,1,3,^\d{2},111,190,2,TRUE,Spec FLU RSV: Low Positive (Positive Control 1) size=80 => 111-190,9000
XP Flu-RSV RUO,2,3,^\d{2},191,210,2,TRUE,Spec FLU RSV: High Positive (Positive Control 2) size=20 => 191-210,9000
*,*,3,^\d{2},1,99,2,FALSE,"(Template) If an assay uses different sample-number ranges, add per-assay/per-code rules above.",100
